Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
Palpitoad,75,65,55,65,55,69,FALSE
Seismitoad,105,95,75,85,75,74,FALSE
Throh,120,100,85,30,85,45,FALSE
Sawk,75,125,75,30,75,85,FALSE
Sewaddle,45,53,70,40,60,42,FALSE
Swadloon,55,63,90,50,80,42,FALSE
Leavanny,75,103,80,70,80,92,FALSE
Venipede,30,45,59,30,39,57,FALSE
Whirlipede,40,55,99,40,79,47,FALSE
Scolipede,60,100,89,55,69,112,FALSE
Cottonee,40,27,60,37,50,66,FALSE
Whimsicott,60,67,85,77,75,116,FALSE
Petilil,45,35,50,70,50,30,FALSE
Lilligant,70,60,75,110,75,90,FALSE
Basculin,70,92,65,80,55,98,FALSE
Sandile,50,72,35,35,35,65,FALSE
Krokorok,60,82,45,45,45,74,FALSE
Krookodile,95,117,80,65,70,92,FALSE
Darumaka,70,90,45,15,45,50,FALSE
DarmanitanStandard Mode,105,140,55,30,55,95,FALSE
DarmanitanZen Mode,105,30,105,140,105,55,FALSE
Maractus,75,86,67,106,67,60,FALSE
Dwebble,50,65,85,35,35,55,FALSE
Crustle,70,95,125,65,75,45,FALSE
Scraggy,50,75,70,35,70,48,FALSE
Scrafty,65,90,115,45,115,58,FALSE
Sigilyph,72,58,80,103,80,97,FALSE
Yamask,38,30,85,55,65,30,FALSE
Cofagrigus,58,50,145,95,105,30,FALSE
Tirtouga,54,78,103,53,45,22,FALSE
Carracosta,74,108,133,83,65,32,FALSE
Archen,55,112,45,74,45,70,FALSE
Archeops,75,140,65,112,65,110,FALSE
Trubbish,50,50,62,40,62,65,FALSE
Garbodor,80,95,82,60,82,75,FALSE
Zorua,40,65,40,80,40,65,FALSE
Zoroark,60,105,60,120,60,105,FALSE
Minccino,55,50,40,40,40,75,FALSE
Cinccino,75,95,60,65,60,115,FALSE
Gothita,45,30,50,55,65,45,FALSE
Gothorita,60,45,70,75,85,55,FALSE
Gothitelle,70,55,95,95,110,65,FALSE
Solosis,45,30,40,105,50,20,FALSE
Duosion,65,40,50,125,60,30,FALSE
Reuniclus,110,65,75,125,85,30,FALSE
Ducklett,62,44,50,44,50,55,FALSE
Swanna,75,87,63,87,63,98,FALSE
Vanillite,36,50,50,65,60,44,FALSE
Vanillish,51,65,65,80,75,59,FALSE
Vanilluxe,71,95,85,110,95,79,FALSE
Deerling,60,60,50,40,50,75,FALSE
Sawsbuck,80,100,70,60,70,95,FALSE
Emolga,55,75,60,75,60,103,FALSE
Karrablast,50,75,45,40,45,60,FALSE
Escavalier,70,135,105,60,105,20,FALSE
Foongus,69,55,45,55,55,15,FALSE
Amoonguss,114,85,70,85,80,30,FALSE
Frillish,55,40,50,65,85,40,FALSE
Jellicent,100,60,70,85,105,60,FALSE
Alomomola,165,75,80,40,45,65,FALSE
Joltik,50,47,50,57,50,65,FALSE
Galvantula,70,77,60,97,60,108,FALSE
Ferroseed,44,50,91,24,86,10,FALSE
Ferrothorn,74,94,131,54,116,20,FALSE
Klink,40,55,70,45,60,30,FALSE
Klang,60,80,95,70,85,50,FALSE
Klinklang,60,100,115,70,85,90,FALSE
Tynamo,35,55,40,45,40,60,FALSE
Eelektrik,65,85,70,75,70,40,FALSE
Eelektross,85,115,80,105,80,50,FALSE
Elgyem,55,55,55,85,55,30,FALSE
Beheeyem,75,75,75,125,95,40,FALSE
Litwick,50,30,55,65,55,20,FALSE
Lampent,60,40,60,95,60,55,FALSE
Chandelure,60,55,90,145,90,80,FALSE
Axew,46,87,60,30,40,57,FALSE
Fraxure,66,117,70,40,50,67,FALSE
Haxorus,76,147,90,60,70,97,FALSE
Cubchoo,55,70,40,60,40,40,FALSE
Beartic,95,110,80,70,80,50,FALSE
Cryogonal,70,50,30,95,135,105,FALSE
Shelmet,50,40,85,40,65,25,FALSE
Accelgor,80,70,40,100,60,145,FALSE
Stunfisk,109,66,84,81,99,32,FALSE
Mienfoo,45,85,50,55,50,65,FALSE
Mienshao,65,125,60,95,60,105,FALSE
Druddigon,77,120,90,60,90,48,FALSE
Golett,59,74,50,35,50,35,FALSE
Golurk,89,124,80,55,80,55,FALSE
Pawniard,45,85,70,40,40,60,FALSE
Bisharp,65,125,100,60,70,70,FALSE
Bouffalant,95,110,95,40,95,55,FALSE
Rufflet,70,83,50,37,50,60,FALSE
Braviary,100,123,75,57,75,80,FALSE
Vullaby,70,55,75,45,65,60,FALSE
Mandibuzz,110,65,105,55,95,80,FALSE
Heatmor,85,97,66,105,66,65,FALSE
Durant,58,109,112,48,48,109,FALSE
Deino,52,65,50,45,50,38,FALSE
Zweilous,72,85,70,65,70,58,FALSE
Hydreigon,92,105,90,125,90,98,FALSE
Larvesta,55,85,55,50,55,60,FALSE
Volcarona,85,60,65,135,105,100,FALSE
Cobalion,91,90,129,90,72,108,TRUE
Terrakion,91,129,90,72,90,108,TRUE
Virizion,91,90,72,90,129,108,TRUE
TornadusIncarnate Forme,79,115,70,125,80,111,TRUE
TornadusTherian Forme,79,100,80,110,90,121,TRUE
ThundurusIncarnate Forme,79,115,70,125,80,111,TRUE
ThundurusTherian Forme,79,105,70,145,80,101,TRUE
Reshiram,100,120,100,150,120,90,TRUE
Zekrom,100,150,120,120,100,90,TRUE
LandorusIncarnate Forme,89,125,90,115,80,101,TRUE
LandorusTherian Forme,89,145,90,105,80,91,TRUE
Kyurem,125,130,90,130,90,95,TRUE
KyuremBlack Kyurem,125,170,100,120,90,95,TRUE
KyuremWhite Kyurem,125,120,90,170,100,95,TRUE
KeldeoOrdinary Forme,91,72,90,129,90,108,FALSE
KeldeoResolute Forme,91,72,90,129,90,108,FALSE
MeloettaAria Forme,100,77,77,128,128,90,FALSE
MeloettaPirouette Forme,100,128,90,77,77,128,FALSE
Genesect,71,120,95,120,95,99,FALSE
Chespin,56,61,65,48,45,38,FALSE
Quilladin,61,78,95,56,58,57,FALSE
Chesnaught,88,107,122,74,75,64,FALSE
Fennekin,40,45,40,62,60,60,FALSE
Braixen,59,59,58,90,70,73,FALSE
Delphox,75,69,72,114,100,104,FALSE
Froakie,41,56,40,62,44,71,FALSE
Frogadier,54,63,52,83,56,97,FALSE
Greninja,72,95,67,103,71,122,FALSE
Bunnelby,38,36,38,32,36,57,FALSE
Diggersby,85,56,77,50,77,78,FALSE
Fletchling,45,50,43,40,38,62,FALSE
Fletchinder,62,73,55,56,52,84,FALSE
Talonflame,78,81,71,74,69,126,FALSE
Scatterbug,38,35,40,27,25,35,FALSE
Spewpa,45,22,60,27,30,29,FALSE
Vivillon,80,52,50,90,50,89,FALSE
Litleo,62,50,58,73,54,72,FALSE
Pyroar,86,68,72,109,66,106,FALSE
Flabébé,44,38,39,61,79,42,FALSE
Floette,54,45,47,75,98,52,FALSE
Florges,78,65,68,112,154,75,FALSE
Skiddo,66,65,48,62,57,52,FALSE
Gogoat,123,100,62,97,81,68,FALSE
Pancham,67,82,62,46,48,43,FALSE
Pangoro,95,124,78,69,71,58,FALSE
Furfrou,75,80,60,65,90,102,FALSE
Espurr,62,48,54,63,60,68,FALSE
MeowsticMale,74,48,76,83,81,104,FALSE
MeowsticFemale,74,48,76,83,81,104,FALSE
Honedge,45,80,100,35,37,28,FALSE
Doublade,59,110,150,45,49,35,FALSE
AegislashBlade Forme,60,150,50,150,50,60,FALSE
AegislashShield Forme,60,50,150,50,150,60,FALSE
Spritzee,78,52,60,63,65,23,FALSE
Aromatisse,101,72,72,99,89,29,FALSE
Swirlix,62,48,66,59,57,49,FALSE
Slurpuff,82,80,86,85,75,72,FALSE
Inkay,53,54,53,37,46,45,FALSE
Malamar,86,92,88,68,75,73,FALSE
Binacle,42,52,67,39,56,50,FALSE
Barbaracle,72,105,115,54,86,68,FALSE
Skrelp,50,60,60,60,60,30,FALSE
Dragalge,65,75,90,97,123,44,FALSE
Clauncher,50,53,62,58,63,44,FALSE
Clawitzer,71,73,88,120,89,59,FALSE
Helioptile,44,38,33,61,43,70,FALSE
Heliolisk,62,55,52,109,94,109,FALSE
Tyrunt,58,89,77,45,45,48,FALSE
Tyrantrum,82,121,119,69,59,71,FALSE
Amaura,77,59,50,67,63,46,FALSE
Aurorus,123,77,72,99,92,58,FALSE
Sylveon,95,65,65,110,130,60,FALSE
Hawlucha,78,92,75,74,63,118,FALSE
Dedenne,67,58,57,81,67,101,FALSE
Carbink,50,50,150,50,150,50,FALSE
Goomy,45,50,35,55,75,40,FALSE
Sliggoo,68,75,53,83,113,60,FALSE
Goodra,90,100,70,110,150,80,FALSE
Klefki,57,80,91,80,87,75,FALSE
Phantump,43,70,48,50,60,38,FALSE
Trevenant,85,110,76,65,82,56,FALSE
PumpkabooAverage Size,49,66,70,44,55,51,FALSE
PumpkabooSmall Size,44,66,70,44,55,56,FALSE
PumpkabooLarge Size,54,66,70,44,55,46,FALSE
PumpkabooSuper Size,59,66,70,44,55,41,FALSE
GourgeistAverage Size,65,90,122,58,75,84,FALSE
GourgeistSmall Size,55,85,122,58,75,99,FALSE
GourgeistLarge Size,75,95,122,58,75,69,FALSE
GourgeistSuper Size,85,100,122,58,75,54,FALSE
Bergmite,55,69,85,32,35,28,FALSE
Avalugg,95,117,184,44,46,28,FALSE
Noibat,40,30,35,45,40,55,FALSE
Noivern,85,70,80,97,80,123,FALSE
Xerneas,126,131,95,131,98,99,TRUE
Yveltal,126,131,95,131,98,99,TRUE
Zygarde50% Forme,108,100,121,81,95,95,TRUE
Diancie,50,100,150,100,150,50,TRUE
DiancieMega Diancie,50,160,110,160,110,110,TRUE
HoopaHoopa Confined,80,110,60,150,130,70,TRUE
HoopaHoopa Unbound,80,160,60,170,130,80,TRUE
Volcanion,80,110,120,130,90,70,TRUE
